20251208 113000;25775;25775;25771;25774;337
20251208 113100;25774;25777.5;25773.25;25774;305
20251208 113200;25773.75;25775.25;25771.75;25774.75;240
20251208 113300;25774.5;25776.5;25772;25774.5;249
20251208 113400;25774.25;25776.5;25772.5;25774.5;168
20251208 113500;25774.25;25776.75;25770.75;25773.75;243
20251208 113600;25773.25;25777.25;25771.5;25777;202
20251208 113700;25776.25;25777.25;25775;25777;144
20251208 113800;25776.5;25780;25775.5;25778;234
20251208 113900;25778.5;25780.75;25776;25776.75;283
20251208 114000;25777;25779.5;25776.5;25779.5;178
20251208 114100;25779.5;25780.5;25776.75;25779;198
20251208 114200;25779;25782;25778.25;25780.5;290
20251208 114300;25780.75;25782;25779;25781;152
20251208 114400;25780.5;25780.5;25776.5;25778.25;316
20251208 114500;25779;25783.5;25778;25782.5;159
20251208 114600;25782.25;25783.25;25777.75;25779;229
20251208 114700;25778.5;25779.5;25776.25;25777.25;233
20251208 114800;25777.25;25781.5;25776.25;25779.75;243
20251208 114900;25779.75;25782;25776.25;25778.25;331
20251208 115000;25778;25779.5;25777.25;25779.5;119
20251208 115100;25779.25;25779.25;25777;25778;223
20251208 115200;25777.5;25783.25;25777.25;25783.25;226
20251208 115300;25783.5;25785.25;25780.25;25780.25;407
20251208 115400;25780.5;25781.25;25777.5;25777.75;258
20251208 115500;25777.75;25781.75;25776.5;25779.5;284
20251208 115600;25779.5;25781.25;25775;25777;441
20251208 115700;25778;25778.5;25775;25776.5;236
20251208 115800;25776;25777;25773.5;25776;244
20251208 115900;25775.75;25778.25;25774.75;25774.75;138
20251208 120000;25774;25777;25773.75;25774.75;158
20251208 120100;25775;25777.25;25766.5;25770.75;1049
20251208 120200;25770;25771.5;25764.75;25771.25;773
20251208 120300;25771.25;25780.75;25770.75;25779.5;501
20251208 120400;25780.25;25786.5;25779.5;25785.75;532
20251208 120500;25785.25;25787.5;25782.5;25785;634
20251208 120600;25784.75;25786;25779.75;25781.25;242
20251208 120700;25781.25;25785.25;25780.5;25784.5;266
20251208 120800;25783.75;25785.25;25778.5;25780.75;176
20251208 120900;25780.5;25785.25;25780.25;25783.75;143
20251208 121000;25784.75;25786.75;25782.75;25785;202
20251208 121100;25783.25;25784.25;25780;25782;177
20251208 121200;25782.5;25783.75;25778.75;25779.5;231
20251208 121300;25779.75;25781.75;25778.5;25781.25;202
20251208 121400;25781.25;25782.25;25779.75;25780.75;93
20251208 121500;25780.5;25782.5;25780;25782.25;213
20251208 121600;25782;25785;25780.25;25784.75;271
20251208 121700;25784.5;25788;25784;25787.25;352
20251208 121800;25787.75;25789.25;25784.25;25784.5;371
20251208 121900;25784.5;25788.5;25783.5;25787.5;226
20251208 122000;25787.5;25787.5;25783.5;25784;146
20251208 122100;25784.25;25787.75;25781.75;25781.75;464
20251208 122200;25782.25;25785.25;25781.75;25783.75;160
20251208 122300;25783.75;25787;25783;25787;163
20251208 122400;25787.25;25790.25;25787;25789.5;381
20251208 122500;25789.5;25789.75;25787.25;25789.5;406
